Case Number,Title,Settlement Amount,Date,Link
Case No. 6:20-cv-00163,"Walmart, Inc. to Pay $20 Million to Settle EEOC Nationwide Hiring Discrimination Case",$20,09-10-2020,https://www.eeoc.gov/newsroom/walmart-inc-pay-20-million-settle-eeoc-nationwide-hiring-discrimination-case
Case No. 2:20-cv-10662,"Covenant Healthcare Will Pay $104,707 to Settle EEOC Wage Discrimination Lawsuit","$104,707",09-04-2020,https://www.eeoc.gov/newsroom/covenant-healthcare-will-pay-104707-settle-eeoc-wage-discrimination-lawsuit
Case No. 5:19-cv-07574,Air Systems Inc. to Pay $1.25 Million to Settle EEOC Racial Harassment Suit,$1.25,08-21-2020,https://www.eeoc.gov/newsroom/air-systems-inc-pay-125-million-settle-eeoc-racial-harassment-suit
Case No. 2:19-cv-00740,"Multi-South Management Services to Pay $42,500 to Settle EEOC Pregnancy Discrimination and Disability Lawsuit","$42,500",08-19-2020,https://www.eeoc.gov/newsroom/multi-south-management-services-pay-42500-settle-eeoc-pregnancy-discrimination-and
Case No. 1:18-cv-2227,"Sol Mexican Grill, LLC And Sol Mexican Grill Two, LLC to Pay $50,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$50,000",08-18-2020,https://www.eeoc.gov/newsroom/sol-mexican-grill-llc-and-sol-mexican-grill-two-llc-pay-50000-settle-eeoc-sexual
Case No. 5:19-cv-00402,"Sactacular Holdings to Pay $35,000 to Settle EEOC Sex Discrimination Lawsuit","$35,000",08-13-2020,https://www.eeoc.gov/newsroom/sactacular-holdings-pay-35000-settle-eeoc-sex-discrimination-lawsuit
Case No. 2:20-cv-04021,"Doubletree Hotel to Pay $45,000 and Change Policies and Procedures to Settle Sexual Harassment Lawsuit","$45,000",08-05-2020,https://www.eeoc.gov/newsroom/doubletree-hotel-pay-45000-and-change-policies-and-procedures-settle-sexual-harassment
Case No. 5:19-cv-06878,"Guidewire Software to Pay $200,000 to Settle EEOC Disability Discrimination Lawsuit","$200,000",07-28-2020,https://www.eeoc.gov/newsroom/guidewire-software-pay-200000-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:19-cv-00341,"Par Ventures, McDonald’s Franchisee, to Pay $12,500 to Settle EEOC Sexual Harassment Lawsuit","$12,500",07-17-2020,https://www.eeoc.gov/newsroom/par-ventures-mcdonalds-franchisee-pay-12500-settle-eeoc-sexual-harassment-lawsuit
Case No. 3:17-cv-02624,"CBS Broadcast Affiliate in Texas to Pay $215,000 to Settle EEOC Age Suit for Female Reporter","$215,000",07-13-2020,https://www.eeoc.gov/newsroom/cbs-broadcast-affiliate-texas-pay-215000-settle-eeoc-age-suit-female-reporter
Case No. 3:19-cv-00227,"ASICS America Corporation to Pay $49,650 to Settle EEOC Disability Discrimination Lawsuit","$49,650",07-06-2020,https://www.eeoc.gov/newsroom/asics-america-corporation-pay-49650-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:19-cv-00203,"George W. Morosani and Associates to Pay $11,000 to Settle EEOC Retaliation Suit","$11,000",06-29-2020,https://www.eeoc.gov/newsroom/george-w-morosani-and-associates-pay-11000-settle-eeoc-retaliation-suit
Case No. 1:20-cv-03683,"Most Valuable Personnel and MVP Workforce to Pay $568,500 To Settle EEOC Race and Sex Discrimination Suit","$568,500",06-29-2020,https://www.eeoc.gov/newsroom/most-valuable-personnel-and-mvp-workforce-pay-568500-settle-eeoc-race-and-sex
Case No. 1:19-cv-00804,"Capital City Dental Care to Pay $100,000 To Settle EEOC Age Discrimination Suit","$100,000",06-23-2020,https://www.eeoc.gov/newsroom/capital-city-dental-care-pay-100000-settle-eeoc-age-discrimination-suit
Case No. 1:19-cv-04614,"GRK Fresh Greek to Pay $32,000 to Settle Sexual Harassment Suit","$32,000",06-12-2020,https://www.eeoc.gov/newsroom/grk-fresh-greek-pay-32000-settle-sexual-harassment-suit
Case No. 2:20-cv-03131,Jet Propulsion Laboratory to Pay $10 Million to Settle EEOC Age Discrimination Lawsuit,$10,06-11-2020,https://www.eeoc.gov/newsroom/jet-propulsion-laboratory-pay-10-million-settle-eeoc-age-discrimination-lawsuit
Case No. 3:18-cv-00852,"Albertsons to Pay $210,000 to Settle EEOC National Origin Discrimination Lawsuit","$210,000",06-02-2020,https://www.eeoc.gov/newsroom/albertsons-pay-210000-settle-eeoc-national-origin-discrimination-lawsuit
Case No. 5:19-cv-00894,"Black Forest Décor to Pay $55,000 to Settle EEOC Disability Discrimination Suit","$55,000",06-01-2020,https://www.eeoc.gov/newsroom/black-forest-decor-pay-55000-settle-eeoc-disability-discrimination-suit
Case No. 8:19-cv-02100,"Medtronic to Pay $75,000 to Settle EEOC Disability Discrimination Lawsuit","$75,000",05-27-2020,https://www.eeoc.gov/newsroom/medtronic-pay-75000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:20-cv-00993,"Brookdale Senior Living Communities to Pay $80,000 to Settle EEOC Retaliation Suit","$80,000",05-22-2020,https://www.eeoc.gov/newsroom/brookdale-senior-living-communities-pay-80000-settle-eeoc-retaliation-suit
Case No. 1:19-cv-00764,"Christus St. Vincent Regional Medical Center to Pay $98,000 to Settle EEOC Disability and Retaliation Suit","$98,000",05-20-2020,https://www.eeoc.gov/newsroom/christus-st-vincent-regional-medical-center-pay-98000-settle-eeoc-disability-and
Case No. 3:17-cv-757,"Faurecia Madison Automobile Seating, Inc. to Pay $825,000 to Settle EEOC Disability Discrimination Lawsuit","$825,000",05-13-2020,https://www.eeoc.gov/newsroom/faurecia-madison-automobile-seating-inc-pay-825000-settle-eeoc-disability-discrimination
Case No. 5:16-cv-01347,"Wayne Farms to Pay $175,000 to Settle EEOC Lawsuit for Disability Discrimination","$175,000",05-04-2020,https://www.eeoc.gov/newsroom/wayne-farms-pay-175000-settle-eeoc-lawsuit-disability-discrimination
Case No. 3:19-cv-2304,"Enlivant / Assisted Living Concepts to Pay $66,000 to Settle EEOC Disability Accommodation Suit","$66,000",04-28-2020,https://www.eeoc.gov/newsroom/enlivant-assisted-living-concepts-pay-66000-settle-eeoc-disability-accommodation-suit
Case No. 2:18-cv-02670,"Versant Supply Chain and AT&T to Pay $150,000 to Settle EEOC Religious Discrimination Suit","$150,000",04-28-2020,https://www.eeoc.gov/newsroom/versant-supply-chain-and-att-pay-150000-settle-eeoc-religious-discrimination-suit
Case No. 4:19-cv-02043,"HM Solutions to Pay $315,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$315,000",04-27-2020,https://www.eeoc.gov/newsroom/hm-solutions-pay-315000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 4:17-cv-00428,"Whataburger to Pay $180,000 to Settle EEOC Retaliation Suit","$180,000",04-27-2020,https://www.eeoc.gov/newsroom/whataburger-pay-180000-settle-eeoc-retaliation-suit
Case No. 1:07-cv-2500,Baltimore County Will Pay $5.4 Million to Settle Long-Running EEOC Age Discrimination Lawsuit,$5.4,04-24-2020,https://www.eeoc.gov/newsroom/baltimore-county-will-pay-54-million-settle-long-running-eeoc-age-discrimination-lawsuit
Case No. 1:19-cv-00970,"Cañon City Chili’s Restaurant to Pay $150,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$150,000",04-14-2020,https://www.eeoc.gov/newsroom/canon-city-chilis-restaurant-pay-150000-settle-eeoc-sexual-harassment-and-retaliation
Case No. 3:19-cv-05409,"Washington Resorts Pay $570,000 to Settle EEOC Sexual Harassment Lawsuit","$570,000",04-10-2020,https://www.eeoc.gov/newsroom/washington-resorts-pay-570000-settle-eeoc-sexual-harassment-lawsuit
Case No. 5:16-cv-1142,"Former Convenience Store Owner to Pay $160,000 to Resolve Disability Discrimination Suit","$160,000",04-07-2020,https://www.eeoc.gov/newsroom/former-convenience-store-owner-pay-160000-resolve-disability-discrimination-suit
Case No. 3:19-cv-00295,"Hunter Auto & Wrecker Service to Pay $19,000 to Settle EEOC Sexual Harassment Lawsuit","$19,000",04-03-2020,https://www.eeoc.gov/newsroom/hunter-auto-wrecker-service-pay-19000-settle-eeoc-sexual-harassment-lawsuit
Case No. 3:18-cv-05802,"Target Corporation to Pay $45,000 to Settle EEOC Disability Discrimination Lawsuit","$45,000",04-02-2020,https://www.eeoc.gov/newsroom/target-corporation-pay-45000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:19-cv-02846,"Bay Country Professional Concrete Will Pay $74,000 to Settle EEOC Harassment and Retaliation Lawsuits","$74,000",03-31-2020,https://www.eeoc.gov/newsroom/bay-country-professional-concrete-will-pay-74000-settle-eeoc-harassment-and-retaliation
Case No. 2:19-cv-02540,"University of Kansas to Pay $144,000 to Settle EEOC Retaliation Discrimination Lawsuit","$144,000",03-13-2020,https://www.eeoc.gov/newsroom/university-kansas-pay-144000-settle-eeoc-retaliation-discrimination-lawsuit-0
Case No. 2:19-cv-02540,"University of Kansas to Pay $144,000 to Settle EEOC Retaliation Discrimination Lawsuit","$144,000",03-13-2020,https://www.eeoc.gov/newsroom/university-kansas-pay-144000-settle-eeoc-retaliation-discrimination-lawsuit
Case No. 3:18-cv-05792,"Olympia Senior Care Providers to Pay $450,000 to Settle EEOC Sexual Harassment Lawsuit","$450,000",03-12-2020,https://www.eeoc.gov/newsroom/olympia-senior-care-providers-pay-450000-settle-eeoc-sexual-harassment-lawsuit
Case No. 1:19-cv-00585,"Erickson Living Management Will Pay $151,000 to Settle EEOC Retaliation Lawsuit","$151,000",03-11-2020,https://www.eeoc.gov/newsroom/erickson-living-management-will-pay-151000-settle-eeoc-retaliation-lawsuit
Case No. 3:18-cv-01099,"Porous Materials to Pay $93,000 to Settle EEOC Harassment and Retaliation Suit","$93,000",03-03-2020,https://www.eeoc.gov/newsroom/porous-materials-pay-93000-settle-eeoc-harassment-and-retaliation-suit
Case No. 3:19-cv-00596,"Coffel Vending to Pay $22,000 to Settle EEOC Race Hiring Suit","$22,000",02-25-2020,https://www.eeoc.gov/newsroom/coffel-vending-pay-22000-settle-eeoc-race-hiring-suit
Case No. 1:17-cv-01299,Prestige Care and Prestige Senior Living to Pay $2 Million to Settle EEOC Disability Discrimination Suit,$2,02-20-2020,https://www.eeoc.gov/newsroom/prestige-care-and-prestige-senior-living-pay-2-million-settle-eeoc-disability
Case No. 1:18-cv-0541,"Select Staffing to Pay $199,500 to Settle EEOC Sexual Harassment Suit","$199,500",02-13-2020,https://www.eeoc.gov/newsroom/select-staffing-pay-199500-settle-eeoc-sexual-harassment-suit
Case No. 2:19-cv-00314,"Hat World to Pay $33,000 to Settle EEOC Retaliation Lawsuit","$33,000",02-11-2020,https://www.eeoc.gov/newsroom/hat-world-pay-33000-settle-eeoc-retaliation-lawsuit
Case No. 7:19-cv-00064,"Cottle Strawberry to Pay $12,500 to Settle EEOC Religious Discrimination Lawsuit","$12,500",02-06-2020,https://www.eeoc.gov/newsroom/cottle-strawberry-pay-12500-settle-eeoc-religious-discrimination-lawsuit
Case No. 2:18-cv-14727,"Norfolk Southern to Pay $350,000 to Settle EEOC Age Discrimination Lawsuit","$350,000",01-31-2020,https://www.eeoc.gov/newsroom/norfolk-southern-pay-350000-settle-eeoc-age-discrimination-lawsuit
Case No. 4:19-cv-02218,"Element Plastics to Pay $35,000 to Settle EEOC Sexual Harassment And Retaliation Lawsuit","$35,000",01-28-2020,https://www.eeoc.gov/newsroom/element-plastics-pay-35000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:16-cv-03180,"M&T Bank Will Pay $100,000 to Settle EEOC Disability Discrimination Lawsuit","$100,000",01-22-2020,https://www.eeoc.gov/newsroom/mt-bank-will-pay-100000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:18-cv-13270,"Safie Specialty Foods to Pay $125,000 to Settle EEOC Sexual Harassment and Retaliation Suit","$125,000",01-21-2020,https://www.eeoc.gov/newsroom/safie-specialty-foods-pay-125000-settle-eeoc-sexual-harassment-and-retaliation-suit
Case No. 3:19-cv-01231,"Fidelity Home Energy to Pay $350,000 to Settle EEOC National Origin Discrimination Lawsuit","$350,000",01-15-2020,https://www.eeoc.gov/newsroom/fidelity-home-energy-pay-350000-settle-eeoc-national-origin-discrimination-lawsuit
Case No. 1:19-cv-00903,"Greensboro Zaxby's Owner to Pay $30,000 To Settle EEOC Sexual Harassment and Retaliation Lawsuit","$30,000",01-15-2020,https://www.eeoc.gov/newsroom/greensboro-zaxbys-owner-pay-30000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 2:18-cv-09007,"Rainbow USA, Inc., to Pay $11,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$11,000",01-10-2020,https://www.eeoc.gov/newsroom/rainbow-usa-inc-pay-11000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 2:18-cv-8930,"Imperial Trading to Pay $140,000 to Settle EEOC Disability Discrimination Suit","$140,000",01-10-2020,https://www.eeoc.gov/newsroom/imperial-trading-pay-140000-settle-eeoc-disability-discrimination-suit
Case No. 2:18-cv-01411,"Life Care Centers of America to Pay $170,000  to Settle EEOC Discrimination Lawsuit","$170,000",12-30-2019,https://www.eeoc.gov/newsroom/life-care-centers-america-pay-170000-settle-eeoc-discrimination-lawsuit
Case No. 5:18-cv-817,"United Airlines to Pay $321,000 and Fight Internet Harassment to Settle EEOC Discrimination Suit","$321,000",12-20-2019,https://www.eeoc.gov/newsroom/united-airlines-pay-321000-and-fight-internet-harassment-settle-eeoc-discrimination-suit
Case No. 2:19-cv-00263,"Massey Services Will Pay $63,000 to Settle EEOC Discrimination and Retaliation Lawsuit","$63,000",12-19-2019,https://www.eeoc.gov/newsroom/massey-services-will-pay-63000-settle-eeoc-discrimination-and-retaliation-lawsuit
Case No. 1:18-cv-00170,"Century Care of Laurinburg to Pay $30,000 to Settle EEOC Pregnancy Discrimination Suit","$30,000",12-16-2019,https://www.eeoc.gov/newsroom/century-care-laurinburg-pay-30000-settle-eeoc-pregnancy-discrimination-suit
Case No. 3:17-cv-00439,"Gold, Inc. / Sammy's Gentlemen's Club to Pay $20,000 to Settle EEOC Sex Discrimination Lawsuit","$20,000",12-10-2019,https://www.eeoc.gov/newsroom/gold-inc-sammys-gentlemens-club-pay-20000-settle-eeoc-sex-discrimination-lawsuit
Case No. 1:18-cv-02963,"Laz Parking Will Pay $155,000 to Settle EEOC National Origin Discrimination Suit","$155,000",12-09-2019,https://www.eeoc.gov/newsroom/laz-parking-will-pay-155000-settle-eeoc-national-origin-discrimination-suit
Case No. 3:18-cv-05772,"Titus-Will to Pay $125,000 to Settle EEOC Discrimination Lawsuit","$125,000",12-09-2019,https://www.eeoc.gov/newsroom/titus-will-pay-125000-settle-eeoc-discrimination-lawsuit
Case No. 5:17-cv-05382,"Chipotle to Pay $95,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$95,000",12-04-2019,https://www.eeoc.gov/newsroom/chipotle-pay-95000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 2:18-cv-01122,"DSW Shoe Warehouse to Pay $40,000 to Settle EEOC  Race Discrimination Lawsuit","$40,000",12-03-2019,https://www.eeoc.gov/newsroom/dsw-shoe-warehouse-pay-40000-settle-eeoc-race-discrimination-lawsuit
Case No. 1:19-cv-02581,"Colorado Excavating to Pay $42,500 to Settle EEOC Disability Discrimination Suit","$42,500",11-26-2019,https://www.eeoc.gov/newsroom/colorado-excavating-pay-42500-settle-eeoc-disability-discrimination-suit
Case No. 2:18-cv-05122,"On The Border to Pay $100,000 to Settle Race Harassment Case","$100,000",11-25-2019,https://www.eeoc.gov/newsroom/border-pay-100000-settle-race-harassment-case
Case No. 3:18-cv-1760,Crossmark to Pay $2.65 Million to Settle Disability Lawsuit,$2.65,11-21-2019,https://www.eeoc.gov/newsroom/crossmark-pay-265-million-settle-disability-lawsuit
Case No. 1:18-cv-00170,"Walmart to Pay $80,000 and Implement Nationwide Change in Policy to Settle EEOC Disability Lawsuit","$80,000",11-15-2019,https://www.eeoc.gov/newsroom/walmart-pay-80000-and-implement-nationwide-change-policy-settle-eeoc-disability-lawsuit
Case No. 1:18-cv-00250,"Adecco USA to Pay $49,500 to Settle EEOC Disability Discrimination Suit","$49,500",11-15-2019,https://www.eeoc.gov/newsroom/adecco-usa-pay-49500-settle-eeoc-disability-discrimination-suit
Case No. 6:17-cv-00100,"Dollar General to Pay $70,000 to Settle EEOC  Disability Discrimination Lawsuit","$70,000",11-13-2019,https://www.eeoc.gov/newsroom/dollar-general-pay-70000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:19-cv-00335,"Verity Property Management to Pay $22,500 to Settle EEOC Discrimination Lawsuit","$22,500",11-03-2019,https://www.eeoc.gov/newsroom/verity-property-management-pay-22500-settle-eeoc-discrimination-lawsuit
Case No. 5:18-cv-00990,La Cantera Resort and Spa to Pay Over $2.5 Million to Settle EEOC National Origin Discrimination Suit,$2.5,10-31-2019,https://www.eeoc.gov/newsroom/la-cantera-resort-and-spa-pay-over-25-million-settle-eeoc-national-origin-discrimination
Case No. 4:18-cv-1856,"Eagle United Truck Wash Will Pay $40,000 to Settle EEOC Racial Harassment and Retaliation Suit","$40,000",10-28-2019,https://www.eeoc.gov/newsroom/eagle-united-truck-wash-will-pay-40000-settle-eeoc-racial-harassment-and-retaliation-suit
Case No. 2:18-cv-00161,"Interim Healthcare to Pay $50,000 to Settle EEOC Equal Pay Lawsuit","$50,000",10-22-2019,https://www.eeoc.gov/newsroom/interim-healthcare-pay-50000-settle-eeoc-equal-pay-lawsuit
Case No. 1:18-cv-05276,"Caribbean Farmers Market to Pay $25,000 to Settle EEOC Sexual Harassment and Constructive Discharge Lawsuit","$25,000",10-16-2019,https://www.eeoc.gov/newsroom/caribbean-farmers-market-pay-25000-settle-eeoc-sexual-harassment-and-constructive
Case No. 2:18-cv-01966,"Arizona Discount Movers to Pay $54,000 to Settle EEOC Racial Harassment Case","$54,000",10-15-2019,https://www.eeoc.gov/newsroom/arizona-discount-movers-pay-54000-settle-eeoc-racial-harassment-case
Case No. 3:18-cv-01736,"Halliburton to Pay $275,000 to Settle National Origin and Religious Discrimination Suit","$275,000",10-08-2019,https://www.eeoc.gov/newsroom/halliburton-pay-275000-settle-national-origin-and-religious-discrimination-suit
Case No. 3:19-cv-08259,"Northern Arizona Orthopedics to Pay $165,000 to Settle EEOC Sex Discrimination and Retaliation Suit","$165,000",10-07-2019,https://www.eeoc.gov/newsroom/northern-arizona-orthopedics-pay-165000-settle-eeoc-sex-discrimination-and-retaliation
Case No. 1:17-cv-00482,"Court Orders Waikiki Sports Bar to Pay Over $250,000 for Sexual Harassment","$250,000",10-04-2019,https://www.eeoc.gov/newsroom/court-orders-waikiki-sports-bar-pay-over-250000-sexual-harassment
Case No. 0:19-cv-02300,"Transport America to Pay $22,500 and Make Program Changes to Settle EEOC Disability Discrimination Suit","$22,500",10-01-2019,https://www.eeoc.gov/newsroom/transport-america-pay-22500-and-make-program-changes-settle-eeoc-disability-discrimination
Case No. 2:18-cv-13795,"Belle Tire Distributors to Pay $55,000 to Settle EEOC Racial Harassment and Retaliation Lawsuit","$55,000",09-24-2019,https://www.eeoc.gov/newsroom/belle-tire-distributors-pay-55000-settle-eeoc-racial-harassment-and-retaliation-lawsuit
Case No. 3:18-cv-00863,"Pacific Sunwear of California to Pay $85,000 to Settle EEOC Disability Discrimination Suit","$85,000",09-20-2019,https://www.eeoc.gov/newsroom/pacific-sunwear-california-pay-85000-settle-eeoc-disability-discrimination-suit
Case No. 3:18-cv-04135,"Mercy Medical Center to Pay $570,000 to Settle EEOC Disability Discrimination Lawsuit","$570,000",09-19-2019,https://www.eeoc.gov/newsroom/mercy-medical-center-pay-570000-settle-eeoc-disability-discrimination-lawsuit
Case No. 4:18-cv-00229,"Exide Technologies to Pay $45,000 to Settle EEOC Disability Discrimination Lawsuit","$45,000",09-18-2019,https://www.eeoc.gov/newsroom/exide-technologies-pay-45000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:17-cv-00044,Marquez Brothers to Pay $2 Million to Settle EEOC Race Discrimination Suit,$2,09-18-2019,https://www.eeoc.gov/newsroom/marquez-brothers-pay-2-million-settle-eeoc-race-discrimination-suit
Case No. 3:18-cv-01769,"Red Bird Machinery Repair to Pay $22,000 to Settle EEOC Retaliation Lawsuit","$22,000",09-16-2019,https://www.eeoc.gov/newsroom/red-bird-machinery-repair-pay-22000-settle-eeoc-retaliation-lawsuit
Case No. 1:19-cv-00933,"Lexington Treatment / Treatment Centers LLC to Pay $110,000 to Settle EEOC Racial Harassment Lawsuit","$110,000",09-11-2019,https://www.eeoc.gov/newsroom/lexington-treatment-treatment-centers-llc-pay-110000-settle-eeoc-racial-harassment-lawsuit
Case No. 1:17-cv-00862,"Connections CSP Will Pay $550,000 to Settle EEOC Disability Discrimination Suit","$550,000",09-10-2019,https://www.eeoc.gov/newsroom/connections-csp-will-pay-550000-settle-eeoc-disability-discrimination-suit
Case No. 3:18-cv-01786,"Oncor to Pay $50,000 to Settle EEOC Disability Discrimination Suit","$50,000",09-10-2019,https://www.eeoc.gov/newsroom/oncor-pay-50000-settle-eeoc-disability-discrimination-suit
Case No. 4:19-cv-00417,"Tallahassee Memorial Hospital to Pay $375,000 to Settle EEOC Disability Discrimination Suit","$375,000",08-29-2019,https://www.eeoc.gov/newsroom/tallahassee-memorial-hospital-pay-375000-settle-eeoc-disability-discrimination-suit
Case No. 1:18-cv-01188,"A Plus Care Solutions to Pay $200,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$200,000",08-28-2019,https://www.eeoc.gov/newsroom/plus-care-solutions-pay-200000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 2:18-cv-0017,"Hirschbach Motor Lines to Pay $40,000 and Cease Discriminatory Screening to Settle EEOC Suit","$40,000",08-22-2019,https://www.eeoc.gov/newsroom/hirschbach-motor-lines-pay-40000-and-cease-discriminatory-screening-settle-eeoc-suit
Case No. 1:17-cv-00444,"Blood Bank of Hawaii to Pay $175,000 to Settle EEOC Discrimination Lawsuit","$175,000",08-20-2019,https://www.eeoc.gov/newsroom/blood-bank-hawaii-pay-175000-settle-eeoc-discrimination-lawsuit
Case No. 1:18-cv-2799,"Wal-Mart Stores East, LP Will Pay $100,000 to Settle EEOC Disability Discrimination Suit","$100,000",08-19-2019,https://www.eeoc.gov/newsroom/wal-mart-stores-east-lp-will-pay-100000-settle-eeoc-disability-discrimination-suit
Case No. 5:18-cv-00463,"SoftPro to Pay $80,000 to Settle EEOC Disability Discrimination Suit","$80,000",08-16-2019,https://www.eeoc.gov/newsroom/softpro-pay-80000-settle-eeoc-disability-discrimination-suit
Case No. 1:17-cv-00231,"Garden Plaza of Greenbriar Cove to Pay $92,000 to Settle EEOC Religious Bias Lawsuit","$92,000",08-13-2019,https://www.eeoc.gov/newsroom/garden-plaza-greenbriar-cove-pay-92000-settle-eeoc-religious-bias-lawsuit
Case No. 1:18-cv-01226,"El Tio Tex-Mex Grill to Pay $40,000 to Settle EEOC Harassment Lawsuit","$40,000",08-09-2019,https://www.eeoc.gov/newsroom/el-tio-tex-mex-grill-pay-40000-settle-eeoc-harassment-lawsuit
Case No. 8:18-cv-02340,"The Glenridge to Pay $70,000 to Settle Pregnancy Discrimination Lawsuit","$70,000",08-09-2019,https://www.eeoc.gov/newsroom/glenridge-pay-70000-settle-pregnancy-discrimination-lawsuit
Case No. 2:18-cv-03008,"Matrix Medical to Pay $150,000 To Settle EEOC Lawsuit for Pregnancy Discrimination","$150,000",08-08-2019,https://www.eeoc.gov/newsroom/matrix-medical-pay-150000-settle-eeoc-lawsuit-pregnancy-discrimination
Case No. 3:18-cv-00198,"Appalachian Wood Products Will Pay $42,500 to Settle EEOC Disability Discrimination Lawsuit","$42,500",08-06-2019,https://www.eeoc.gov/newsroom/appalachian-wood-products-will-pay-42500-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:18-cv-00146,"Vallen Distribution to Pay $75,000 to Settle EEOC Disability Discrimination Suit","$75,000",08-06-2019,https://www.eeoc.gov/newsroom/vallen-distribution-pay-75000-settle-eeoc-disability-discrimination-suit
Case No. 2:17-cv-02725,"American Medical Response of Tennessee, Inc., to Pay $40,000 to Settle EEOC Religious Discrimination Lawsuit","$40,000",07-31-2019,https://www.eeoc.gov/newsroom/american-medical-response-tennessee-inc-pay-40000-settle-eeoc-religious-discrimination
Case No. 3:18-cv-01217,"Tapioca Express to Pay $102,500 to Settle EEOC Sexual Harassment Lawsuit","$102,500",07-29-2019,https://www.eeoc.gov/newsroom/tapioca-express-pay-102500-settle-eeoc-sexual-harassment-lawsuit
Case No. 2:18-cv-10989,"Simplicity Ground Services to Pay $120,000 to Settle EEOC Pregnancy Discrimination Suit","$120,000",07-24-2019,https://www.eeoc.gov/newsroom/simplicity-ground-services-pay-120000-settle-eeoc-pregnancy-discrimination-suit
Case No. 3:18-cv-01524,"G2 Corporation to Pay $55,000 to Settle EEOC Sex Harassment Suit","$55,000",07-24-2019,https://www.eeoc.gov/newsroom/g2-corporation-pay-55000-settle-eeoc-sex-harassment-suit
Case No. 1:18-cv-01609,"AMI Mechanical to Pay $82,500 to Settle EEOC National Origin, Color and Retaliation Lawsuit","$82,500",07-23-2019,https://www.eeoc.gov/newsroom/ami-mechanical-pay-82500-settle-eeoc-national-origin-color-and-retaliation-lawsuit
Case No. 1:18-cv-23938,"Blackwater Protection & Detective Agency  To Pay $35,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$35,000",07-18-2019,https://www.eeoc.gov/newsroom/blackwater-protection-detective-agency-pay-35000-settle-eeoc-sexual-harassment-and
